fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,id
6.0,0.33,0.18,3.0,0.036,5.0,85.0,462
6.3,0.28,0.24,8.45,0.031,32.0,172.0,463
5.9,0.21,0.31,1.8,0.033,45.0,142.0,464
6.5,0.22,0.32,2.2,0.028,36.0,92.0,465
7.1,0.21,0.28,2.7,0.034,23.0,111.0,466
7.1,0.17,0.38,7.4,0.052,49.0,182.0,467
6.3,0.19,0.21,1.8,0.049,35.0,163.0,468
6.7,0.24,0.36,8.4,0.042,42.0,123.0,469
7.0,0.3,0.28,2.2,0.042,21.0,177.0,470
6.6,0.16,0.4,1.5,0.044,48.0,143.0,471
6.4,0.23,0.35,4.6,0.039,43.0,147.0,472
6.9,0.19,0.4,1.4,0.036,14.0,55.0,473
5.6,0.27,0.37,0.9,0.025,11.0,49.0,474
6.7,0.34,0.43,1.6,0.041,29.0,114.0,475
6.8,0.19,0.33,4.9,0.047,42.0,130.0,476
6.6,0.22,0.23,17.3,0.047,37.0,118.0,477
5.5,0.315,0.38,2.6,0.033,10.0,69.0,478
6.2,0.36,0.45,10.4,0.06,22.0,184.0,479
6.7,0.3,0.29,2.8,0.025,37.0,107.0,480
6.9,0.19,0.35,13.5,0.038,49.0,118.0,481
7.1,0.34,0.32,2.0,0.051,29.0,130.0,482
7.0,0.46,0.2,16.7,0.046,50.0,184.0,483
7.1,0.43,0.25,2.8,0.036,43.0,132.0,484
7.2,0.17,0.34,6.4,0.042,16.0,111.0,485
6.6,0.23,0.29,14.45,0.057,29.0,144.0,486
7.5,0.38,0.33,5.0,0.045,30.0,131.0,487
6.8,0.18,0.21,5.4,0.053,34.0,104.0,488
6.5,0.115,0.29,1.95,0.038,73.0,166.0,489
6.5,0.18,0.33,8.0,0.051,16.0,131.0,490
7.2,0.47,0.16,5.9,0.048,14.0,125.0,491
6.0,0.18,0.31,1.4,0.036,14.0,75.0,492
7.0,0.14,0.32,9.0,0.039,54.0,141.0,493
6.7,0.31,0.31,9.9,0.04,10.0,175.0,494
5.0,0.35,0.25,7.8,0.031,24.0,116.0,495
6.8,0.29,0.5,13.3,0.053,48.0,194.0,496
6.2,0.34,0.28,7.5,0.034,40.0,197.0,497
6.9,0.46,0.2,0.9,0.054,5.0,126.0,498
8.6,0.485,0.29,4.1,0.026,19.0,101.0,499
6.0,0.32,0.33,9.9,0.032,22.0,90.0,500
6.0,0.29,0.41,10.8,0.048,55.0,149.0,501
7.4,0.2,0.29,1.7,0.047,16.0,100.0,502
7.0,0.23,0.33,1.0,0.043,46.0,110.0,503
7.6,0.31,0.52,13.2,0.042,61.0,148.0,504
7.2,0.24,0.3,1.2,0.037,11.0,95.0,505
6.8,0.39,0.31,14.35,0.043,28.0,162.0,506
6.4,0.17,0.3,2.8,0.034,33.0,125.0,507
8.2,0.23,0.29,1.8,0.047,47.0,187.0,508
6.7,0.33,0.42,6.4,0.058,27.0,151.0,509
7.3,0.26,0.31,1.6,0.04,39.0,173.0,510
7.2,0.115,0.3,6.8,0.056,26.0,105.0,511
6.5,0.29,0.42,10.6,0.042,66.0,202.0,512
5.5,0.18,0.22,5.5,0.037,10.0,86.0,513
8.3,0.27,0.45,1.3,0.048,8.0,72.0,514
7.0,0.27,0.41,18.75,0.042,34.0,157.0,515
5.6,0.22,0.32,1.2,0.024,29.0,97.0,516
7.1,0.2,0.3,0.9,0.019,4.0,28.0,517
6.4,0.38,0.24,7.2,0.047,41.0,151.0,518
5.6,0.23,0.29,3.1,0.023,19.0,89.0,519
7.6,0.16,0.41,1.9,0.047,27.0,151.0,520
7.6,0.31,0.24,1.8,0.037,39.0,150.0,521
6.3,0.41,0.22,7.3,0.035,23.0,117.0,522
6.3,0.2,0.3,5.9,0.034,35.0,152.0,523
7.6,0.27,0.32,1.2,0.043,23.0,72.0,524
5.5,0.28,0.21,1.6,0.032,23.0,85.0,525
6.7,0.2,0.3,1.4,0.025,17.0,76.0,526
7.2,0.31,0.41,8.6,0.053,15.0,89.0,527
7.4,0.3,0.22,5.25,0.053,33.0,180.0,528
7.4,0.28,0.3,5.3,0.054,44.0,161.0,529
7.8,0.4,0.26,9.5,0.059,32.0,178.0,530
8.3,0.19,0.49,1.2,0.051,11.0,137.0,531
6.7,0.36,0.28,8.3,0.034,29.0,81.0,532
6.8,0.32,0.37,3.4,0.023,19.0,87.0,533
8.2,0.23,0.4,1.2,0.027,36.0,121.0,534
6.6,0.28,0.41,7.0,0.046,59.0,194.0,535
7.2,0.24,0.4,17.85,0.049,50.0,185.0,536
7.3,0.26,0.33,11.8,0.057,48.0,127.0,537
7.0,0.27,0.29,3.9,0.059,28.0,199.0,538
7.0,0.21,0.34,8.5,0.033,31.0,253.0,539
7.8,0.13,0.3,1.8,0.04,43.0,179.0,540
6.6,0.35,0.19,10.5,0.06,15.0,82.0,541
5.5,0.335,0.3,2.5,0.071,27.0,128.0,542
6.5,0.26,0.32,6.65,0.059,34.0,104.0,543
5.6,0.12,0.33,2.9,0.044,21.0,73.0,544
7.4,0.27,0.49,1.1,0.037,33.0,156.0,545
7.6,0.29,0.26,6.5,0.042,32.0,160.0,546
6.5,0.34,0.46,1.0,0.023,6.0,80.0,547
5.9,0.2,0.23,1.5,0.037,38.0,93.0,548
5.9,0.37,0.3,1.5,0.033,35.0,95.0,549
6.9,0.29,0.16,6.8,0.034,65.0,212.0,550
6.3,0.37,0.28,6.3,0.034,45.0,152.0,551
6.4,0.2,0.32,3.1,0.041,18.0,126.0,552
5.8,0.3,0.33,3.5,0.033,25.0,116.0,553
7.5,0.23,0.29,2.6,0.031,24.0,98.0,554
6.8,0.38,0.29,9.9,0.037,40.0,146.0,555
6.0,0.2,0.25,2.0,0.041,30.0,95.0,556
6.5,0.23,0.36,16.3,0.038,43.0,133.0,557
6.1,0.3,0.47,1.4,0.049,50.0,187.0,558
7.0,0.21,0.28,8.7,0.045,37.0,222.0,559
7.1,0.22,0.32,16.9,0.056,49.0,158.0,560
6.0,0.2,0.24,1.8,0.03,30.0,105.0,561
8.7,0.23,0.32,13.4,0.044,35.0,169.0,562
6.2,0.12,0.34,1.5,0.045,43.0,117.0,563
6.0,0.2,0.38,1.3,0.034,37.0,104.0,564
7.8,0.32,0.31,1.7,0.036,46.0,195.0,565
6.1,0.27,0.25,1.8,0.041,9.0,109.0,566
7.9,0.19,0.45,1.5,0.045,17.0,96.0,567
5.6,0.26,0.18,1.4,0.034,18.0,135.0,568
6.6,0.36,0.52,11.3,0.046,8.0,110.0,569
6.2,0.23,0.36,17.2,0.039,37.0,130.0,570
7.2,0.25,0.39,18.95,0.038,42.0,155.0,571
6.3,0.27,0.18,7.7,0.048,45.0,186.0,572
7.4,0.22,0.33,2.0,0.045,31.0,101.0,573
7.1,0.44,0.27,8.4,0.057,60.0,160.0,574
7.4,0.37,0.26,9.6,0.05,33.0,134.0,575
7.0,0.15,0.38,15.3,0.045,54.0,120.0,576
7.4,0.44,0.2,11.5,0.049,44.0,157.0,577
6.9,0.22,0.49,7.0,0.063,50.0,168.0,578
6.6,0.25,0.36,8.1,0.045,54.0,180.0,579
6.5,0.18,0.48,18.0,0.054,56.0,183.0,580
6.6,0.25,0.51,8.0,0.047,61.0,189.0,581
7.2,0.17,0.28,17.55,0.05,33.0,154.0,582
6.1,0.27,0.31,1.5,0.035,17.0,83.0,583
7.2,0.24,0.34,1.1,0.045,3.0,64.0,584
8.2,0.42,0.29,4.1,0.03,31.0,100.0,585
6.5,0.22,0.19,1.1,0.064,36.0,191.0,586
6.8,0.23,0.3,6.95,0.044,42.0,179.0,587
6.9,0.16,0.3,9.6,0.057,50.0,185.0,588
5.7,0.25,0.26,12.5,0.049,52.5,106.0,589
7.5,0.28,0.41,1.3,0.044,11.0,126.0,590
6.9,0.2,0.28,1.2,0.048,36.0,159.0,591
5.9,0.2,0.28,12.8,0.038,29.0,132.0,592
6.6,0.23,0.18,8.5,0.044,59.0,188.0,593
6.2,0.34,0.29,7.6,0.047,45.0,232.0,594
6.7,0.18,0.24,10.3,0.057,64.0,185.0,595
6.8,0.16,0.36,1.3,0.034,32.0,98.0,596
6.2,0.33,0.19,5.6,0.042,22.0,143.0,597
7.7,0.23,0.31,10.7,0.038,59.0,186.0,598
6.9,0.24,0.33,1.7,0.035,47.0,136.0,599
7.4,0.19,0.49,6.7,0.037,15.0,110.0,600
7.1,0.23,0.39,1.6,0.032,12.0,65.0,601
6.4,0.46,0.08,4.9,0.046,34.0,144.0,602
6.5,0.3,0.27,4.0,0.038,37.0,97.0,603
6.7,0.34,0.54,16.3,0.047,44.0,181.0,604
6.6,0.29,0.31,3.9,0.027,39.0,96.0,605
6.0,0.29,0.41,10.8,0.048,55.0,149.0,606
6.0,0.24,0.28,3.95,0.038,61.0,134.0,607
5.7,0.45,0.42,1.1,0.051,61.0,197.0,608
6.1,0.19,0.25,4.0,0.023,23.0,112.0,609
7.3,0.2,0.29,19.9,0.039,69.0,237.0,610
7.1,0.39,0.39,11.1,0.034,25.0,204.0,611
6.3,0.25,0.53,1.8,0.021,41.0,101.0,612
8.0,0.37,0.31,4.7,0.038,3.0,127.0,613
7.2,0.26,0.32,10.4,0.062,23.0,114.0,614
6.6,0.15,0.34,5.1,0.055,34.0,125.0,615
6.8,0.25,0.24,1.6,0.045,39.0,164.0,616
6.5,0.3,0.29,2.25,0.037,8.0,210.0,617
5.8,0.25,0.26,13.1,0.051,44.0,148.0,618
7.1,0.34,0.31,5.2,0.032,36.0,140.0,619
6.4,0.41,0.24,14.0,0.048,24.0,113.0,620
6.2,0.16,0.47,1.4,0.029,23.0,81.0,621
7.4,0.29,0.48,12.8,0.037,61.5,182.0,622
8.5,0.25,0.31,2.8,0.032,11.0,61.0,623
5.6,0.25,0.19,2.4,0.049,42.0,166.0,624
6.8,0.43,0.26,5.2,0.043,40.0,176.0,625
7.4,0.27,0.26,11.8,0.053,55.0,173.0,626
7.1,0.28,0.26,1.9,0.049,12.0,86.0,627
6.7,0.34,0.3,15.6,0.054,51.0,196.0,628
8.0,0.3,0.36,11.0,0.034,8.0,70.0,629
7.1,0.28,0.19,7.8,0.04,48.0,184.0,630
7.1,0.17,0.38,7.4,0.052,49.0,182.0,631
6.0,0.26,0.29,1.0,0.032,27.0,96.0,632
7.3,0.24,0.34,15.4,0.05,38.0,174.0,633
6.7,0.46,0.21,4.0,0.034,12.0,88.0,634
6.8,0.26,0.48,6.2,0.049,55.0,182.0,635
7.1,0.37,0.3,6.2,0.04,49.0,139.0,636
7.1,0.13,0.29,15.5,0.064,56.0,115.5,637
7.1,0.25,0.3,2.4,0.042,25.0,122.0,638
6.4,0.31,0.28,1.5,0.037,12.0,119.0,639
7.1,0.21,0.4,1.2,0.069,24.0,156.0,640
6.5,0.24,0.19,1.2,0.041,30.0,111.0,641
6.9,0.29,0.23,8.6,0.056,56.0,215.0,642
5.3,0.275,0.24,7.4,0.038,28.0,114.0,643
7.9,0.14,0.28,1.8,0.041,44.0,178.0,644
7.4,0.16,0.3,13.7,0.056,33.0,168.0,645
7.5,0.305,0.4,18.9,0.059,44.0,170.0,646
7.1,0.27,0.28,1.25,0.023,3.0,89.0,647
6.6,0.28,0.41,7.0,0.046,59.0,194.0,648
5.9,0.44,0.33,1.2,0.049,12.0,117.0,649
6.5,0.35,0.31,10.2,0.069,58.0,170.0,650
6.8,0.26,0.29,11.9,0.052,54.0,160.0,651
6.9,0.28,0.4,8.2,0.036,15.0,95.0,652
6.4,0.35,0.28,1.6,0.037,31.0,113.0,653
6.3,0.24,0.29,13.7,0.035,53.0,134.0,654
7.5,0.24,0.31,13.0,0.049,46.0,217.0,655
6.8,0.19,0.33,4.9,0.047,42.0,130.0,656
5.6,0.185,0.49,1.1,0.03,28.0,117.0,657
7.5,0.42,0.19,6.9,0.041,62.0,150.0,658
6.5,0.2,0.24,9.2,0.044,25.0,150.0,659
6.2,0.29,0.29,5.6,0.046,35.0,178.0,660
5.1,0.26,0.33,1.1,0.027,46.0,113.0,661
7.5,0.28,0.33,7.7,0.048,42.0,180.0,662
6.5,0.25,0.45,7.8,0.048,52.0,188.0,663
6.2,0.2,0.25,15.0,0.055,8.0,120.0,664
8.0,0.25,0.49,1.2,0.061,27.0,117.0,665
7.4,0.24,0.42,14.0,0.066,48.0,198.0,666
6.0,0.21,0.3,8.7,0.036,47.0,127.0,667
5.7,0.18,0.22,4.2,0.042,25.0,111.0,668
6.9,0.24,0.34,4.7,0.04,43.0,161.0,669
6.0,0.19,0.29,1.1,0.047,67.0,152.0,670
6.3,0.3,0.48,7.4,0.053,34.0,149.0,671
7.0,0.21,0.31,6.0,0.046,29.0,108.0,672
8.3,0.14,0.45,1.5,0.039,18.0,98.0,673
5.6,0.12,0.33,2.9,0.044,21.0,73.0,674
7.8,0.22,0.26,9.0,0.047,38.0,132.0,675
6.6,0.31,0.07,1.5,0.033,55.0,144.0,676
6.4,0.17,0.34,13.4,0.044,45.0,139.0,677
7.9,0.21,0.39,2.0,0.057,21.0,138.0,678
8.3,0.14,0.26,1.5,0.049,56.0,189.0,679
6.7,0.14,0.46,1.6,0.036,15.0,92.0,680
7.4,0.24,0.42,14.0,0.066,48.0,198.0,681
5.9,0.28,0.14,8.6,0.032,30.0,142.0,682
5.8,0.18,0.28,1.3,0.034,9.0,94.0,683
7.1,0.31,0.5,14.5,0.059,6.0,148.0,684
7.8,0.34,0.27,1.2,0.04,25.0,106.0,685
6.1,0.17,0.28,4.5,0.033,46.0,150.0,686
6.5,0.22,0.25,17.1,0.05,44.0,138.0,687
7.2,0.14,0.32,1.1,0.022,48.0,116.0,688
5.8,0.335,0.14,5.8,0.046,49.0,197.0,689
5.1,0.14,0.25,0.7,0.039,15.0,89.0,690
7.7,0.43,0.28,4.5,0.046,33.0,102.0,691
7.5,0.28,0.39,10.2,0.045,59.0,209.0,692
6.4,0.105,0.29,1.1,0.035,44.0,140.0,693
6.4,0.28,0.45,8.6,0.057,47.0,223.0,694
8.6,0.16,0.38,3.4,0.04,41.0,143.0,695
6.9,0.34,0.49,7.3,0.045,61.0,206.0,696
6.7,0.3,0.44,18.5,0.057,65.0,224.0,697
6.0,0.36,0.06,1.4,0.066,27.0,128.0,698
7.0,0.24,0.25,1.7,0.042,48.0,189.0,699
7.0,0.24,0.18,1.3,0.046,9.0,62.0,700
6.7,0.18,0.3,6.4,0.048,40.0,251.0,701
5.8,0.32,0.23,1.5,0.033,39.0,121.0,702
6.8,0.16,0.29,10.4,0.046,59.0,143.0,703
6.0,0.26,0.29,3.1,0.041,37.0,144.0,704
7.5,0.22,0.32,2.4,0.045,29.0,100.0,705
7.0,0.12,0.28,6.3,0.057,17.0,103.0,706
6.2,0.345,0.27,10.1,0.056,38.0,187.0,707
5.7,0.22,0.22,16.65,0.044,39.0,110.0,708
6.9,0.35,0.39,2.4,0.048,25.0,157.0,709
6.6,0.32,0.33,2.5,0.052,40.0,210.0,710
6.6,0.26,0.27,1.5,0.04,19.0,114.0,711
8.4,0.16,0.33,1.5,0.033,16.0,98.0,712
7.2,0.33,0.28,1.4,0.034,26.0,109.0,713
5.0,0.2,0.4,1.9,0.015,20.0,98.0,714
6.8,0.41,0.3,8.8,0.045,28.0,131.0,715
6.5,0.2,0.5,18.1,0.054,50.0,221.0,716
6.1,0.3,0.56,2.8,0.044,47.0,179.0,717
6.0,0.41,0.23,1.1,0.066,22.0,148.0,718
7.1,0.26,0.32,16.2,0.044,31.0,170.0,719
5.6,0.15,0.31,5.3,0.038,8.0,79.0,720
6.4,0.22,0.34,1.4,0.023,56.0,115.0,721
7.8,0.18,0.31,12.2,0.053,46.0,140.0,722
6.1,0.34,0.24,18.35,0.05,33.0,184.0,723
7.0,0.36,0.14,11.6,0.043,35.0,228.0,724
6.0,0.19,0.26,12.4,0.048,50.0,147.0,725
6.5,0.25,0.27,17.4,0.064,29.0,140.0,726
6.6,0.24,0.28,1.8,0.028,39.0,132.0,727
6.2,0.2,0.31,1.0,0.031,22.0,73.0,728
5.8,0.28,0.18,1.2,0.058,7.0,108.0,729
7.0,0.24,0.51,11.0,0.029,55.0,227.0,730
6.8,0.18,0.28,9.8,0.039,29.0,113.0,731
6.7,0.29,0.45,14.3,0.054,30.0,181.0,732
6.8,0.25,0.18,1.4,0.056,13.0,137.0,733
6.6,0.36,0.52,10.1,0.05,29.0,140.0,734
6.4,0.29,0.2,15.6,0.04,20.0,142.0,735
6.1,0.22,0.49,1.5,0.051,18.0,87.0,736
8.0,0.26,0.28,4.8,0.05,34.0,150.0,737
8.6,0.26,0.41,2.2,0.049,29.0,111.0,738
6.4,0.31,0.53,8.8,0.057,36.0,221.0,739
7.2,0.16,0.26,7.1,0.054,41.0,224.0,740
6.5,0.21,0.37,2.5,0.048,70.0,138.0,741
7.2,0.47,0.16,5.9,0.048,14.0,125.0,742
6.6,0.25,0.39,1.45,0.04,40.0,89.0,743
6.8,0.33,0.3,2.1,0.047,35.0,147.0,744
8.5,0.2,0.4,1.1,0.046,31.0,106.0,745
7.4,0.105,0.34,12.2,0.05,57.0,146.0,746
7.4,0.2,0.35,6.1,0.025,10.0,40.0,747
5.9,0.12,0.28,1.4,0.037,36.0,83.0,748
5.1,0.33,0.22,1.6,0.027,18.0,89.0,749
5.9,0.28,0.34,3.6,0.04,50.0,194.0,750
6.3,0.21,0.33,13.9,0.046,68.0,179.0,751
6.3,0.29,0.23,14.2,0.037,24.0,99.0,752
5.9,0.27,0.27,5.0,0.035,14.0,97.0,753
6.2,0.22,0.28,2.2,0.04,24.0,125.0,754
5.8,0.2,0.16,1.4,0.042,44.0,99.0,755
6.1,0.28,0.27,4.7,0.03,56.0,140.0,756
6.6,0.27,0.33,1.4,0.042,24.0,183.0,757
5.8,0.18,0.37,1.1,0.036,31.0,96.0,758
7.2,0.36,0.36,5.7,0.038,26.0,98.0,759
7.0,0.36,0.35,2.5,0.048,67.0,161.0,760
8.6,0.33,0.34,11.8,0.059,42.0,240.0,761
6.5,0.26,0.24,10.8,0.042,47.0,130.0,762
6.8,0.24,0.38,8.3,0.045,50.0,185.0,763
6.8,0.18,0.46,1.4,0.064,37.0,160.0,764
7.2,0.24,0.27,11.4,0.034,40.0,174.0,765
7.0,0.15,0.28,14.7,0.051,29.0,149.0,766
6.5,0.36,0.31,13.55,0.053,20.0,113.0,767
6.5,0.3,0.39,7.8,0.038,61.0,219.0,768
6.6,0.26,0.22,18.15,0.05,23.0,139.0,769
8.0,0.29,0.49,11.7,0.035,40.0,131.0,770
7.1,0.29,0.28,9.3,0.048,50.0,141.0,771
7.0,0.32,0.24,6.2,0.048,31.0,228.0,772
7.1,0.25,0.28,1.6,0.052,46.0,169.0,773
5.7,0.4,0.35,5.1,0.026,17.0,113.0,774
7.4,0.19,0.3,12.8,0.053,48.5,229.0,775
5.7,0.28,0.3,3.9,0.026,36.0,105.0,776
7.3,0.34,0.3,1.3,0.057,25.0,173.0,777
6.3,0.41,0.18,3.5,0.027,23.0,109.0,778
6.1,0.32,0.33,10.7,0.036,27.0,98.0,779
6.7,0.3,0.29,2.8,0.025,37.0,107.0,780
7.0,0.32,0.29,4.9,0.036,41.0,150.0,781
5.2,0.24,0.45,3.8,0.027,21.0,128.0,782
6.6,0.42,0.33,2.8,0.034,15.0,85.0,783
7.6,0.2,0.39,2.6,0.044,30.0,180.0,784
7.3,0.38,0.23,6.5,0.05,18.0,102.0,785
5.7,0.22,0.22,16.65,0.044,39.0,110.0,786
6.4,0.14,0.28,7.9,0.057,21.0,82.0,787
7.2,0.17,0.34,6.4,0.042,16.0,111.0,788
7.0,0.24,0.24,1.8,0.047,29.0,91.0,789
8.4,0.31,0.31,0.95,0.021,52.0,148.0,790
6.2,0.25,0.25,1.4,0.03,35.0,105.0,791
6.2,0.22,0.49,6.0,0.029,31.0,128.0,792
6.9,0.19,0.33,1.6,0.043,63.0,149.0,793
6.7,0.24,0.26,12.6,0.053,44.0,182.0,794
7.8,0.32,0.33,10.4,0.031,47.0,194.0,795
7.9,0.14,0.45,1.8,0.05,17.0,114.0,796
6.7,0.28,0.31,7.4,0.041,7.0,81.0,797
8.8,0.28,0.45,6.0,0.022,14.0,49.0,798
5.5,0.3,0.25,1.9,0.029,33.0,118.0,799
5.0,0.29,0.54,5.7,0.035,54.0,155.0,800
6.5,0.22,0.19,1.1,0.064,36.0,191.0,801
7.1,0.43,0.3,6.6,0.025,15.0,138.0,802
6.0,0.14,0.37,1.2,0.032,63.0,148.0,803
6.7,0.16,0.28,2.5,0.046,40.0,153.0,804
5.9,0.32,0.26,1.5,0.057,17.0,141.0,805
6.6,0.16,0.3,1.6,0.034,15.0,78.0,806
6.8,0.35,0.32,2.4,0.048,35.0,103.0,807
8.3,0.2,0.35,0.9,0.05,12.0,74.0,808
6.2,0.35,0.31,2.6,0.036,37.0,92.0,809
6.7,0.24,0.35,13.1,0.05,64.0,205.0,810
6.1,0.41,0.14,10.4,0.037,18.0,119.0,811
7.1,0.44,0.23,5.8,0.035,24.0,100.0,812
7.0,0.23,0.35,1.4,0.036,31.0,113.0,813
7.5,0.35,0.28,9.6,0.051,26.0,157.0,814
6.7,0.24,0.33,12.3,0.046,31.0,145.0,815
6.5,0.425,0.4,13.1,0.038,59.0,241.0,816
7.2,0.15,0.39,1.8,0.043,21.0,159.0,817
7.4,0.35,0.24,6.0,0.042,28.0,123.0,818
7.1,0.28,0.19,7.8,0.04,48.0,184.0,819
7.9,0.34,0.44,6.5,0.027,47.0,126.0,820
5.8,0.3,0.38,4.9,0.039,22.0,86.0,821
7.4,0.32,0.22,11.7,0.035,44.0,150.0,822
8.2,0.15,0.48,2.7,0.052,24.0,190.0,823
7.2,0.21,0.36,15.7,0.045,68.0,183.0,824
6.8,0.27,0.26,16.1,0.049,55.0,196.0,825
6.8,0.12,0.3,12.9,0.049,32.0,88.0,826
6.8,0.16,0.18,1.8,0.046,31.0,114.0,827
7.3,0.32,0.35,1.4,0.05,8.0,163.0,828
7.0,0.17,0.31,4.8,0.034,34.0,132.0,829
7.4,0.28,0.49,1.5,0.034,20.0,126.0,830
5.7,0.2,0.24,13.8,0.047,44.0,112.0,831
7.2,0.34,0.34,12.6,0.048,7.0,41.0,832
7.0,0.31,0.31,9.1,0.036,45.0,140.0,833
8.0,0.18,0.37,1.3,0.04,15.0,96.0,834
6.8,0.23,0.31,2.8,0.047,40.0,122.0,835
7.3,0.18,0.29,1.2,0.044,12.0,143.0,836
6.8,0.31,0.32,7.6,0.052,35.0,143.0,837
7.0,0.23,0.42,1.1,0.062,35.0,100.0,838
4.8,0.17,0.28,2.9,0.03,22.0,111.0,839
6.2,0.28,0.27,10.3,0.03,26.0,108.0,840
8.6,0.31,0.3,0.9,0.045,16.0,109.0,841
5.9,0.46,0.14,2.7,0.042,27.0,160.0,842
7.8,0.3,0.37,1.3,0.051,16.0,96.0,843
6.6,0.33,0.4,2.65,0.041,35.0,86.0,844
6.8,0.475,0.33,3.95,0.047,16.0,81.0,845
5.8,0.23,0.2,2.0,0.043,39.0,154.0,846
7.4,0.16,0.31,6.85,0.059,31.0,131.0,847
7.8,0.3,0.29,16.85,0.054,23.0,135.0,848
7.5,0.42,0.14,10.7,0.046,18.0,95.0,849
8.4,0.18,0.42,5.1,0.036,7.0,77.0,850
6.3,0.34,0.52,6.3,0.047,63.0,186.0,851
7.4,0.29,0.29,1.6,0.045,53.0,180.0,852
6.6,0.32,0.22,16.7,0.046,38.0,133.0,853
7.1,0.46,0.23,13.7,0.045,44.0,192.0,854
7.2,0.29,0.2,7.7,0.046,51.0,174.0,855
7.4,0.25,0.29,6.8,0.02,31.0,113.0,856
6.4,0.25,0.41,8.6,0.042,57.0,173.0,857
6.1,0.32,0.28,6.6,0.021,29.0,132.0,858
6.3,0.32,0.32,1.5,0.037,12.0,76.0,859
6.3,0.48,0.48,1.8,0.035,35.0,96.0,860
6.3,0.27,0.49,1.2,0.063,35.0,92.0,861
6.2,0.25,0.47,11.6,0.048,62.0,210.0,862
6.4,0.38,0.24,7.2,0.047,41.0,151.0,863
6.8,0.11,0.27,8.6,0.044,45.0,104.0,864
5.6,0.34,0.1,1.3,0.031,20.0,68.0,865
6.9,0.25,0.26,5.2,0.024,36.0,135.0,866
7.4,0.36,0.32,1.9,0.036,27.0,119.0,867
7.0,0.31,0.26,7.4,0.069,28.0,160.0,868
6.3,0.25,0.44,11.6,0.041,48.0,195.0,869
7.0,0.2,0.4,1.1,0.058,30.0,93.0,870
6.9,0.28,0.22,10.0,0.052,36.0,131.0,871
5.3,0.36,0.27,6.3,0.028,40.0,132.0,872
6.4,0.24,0.32,0.95,0.041,23.0,131.0,873
6.0,0.34,0.32,3.8,0.044,13.0,116.0,874
6.0,0.25,0.28,7.7,0.053,37.0,132.0,875
6.8,0.32,0.3,1.0,0.049,22.0,113.0,876
7.0,0.31,0.26,7.4,0.069,28.0,160.0,877
6.0,0.26,0.15,1.2,0.053,35.0,124.0,878
8.8,0.2,0.28,1.1,0.018,18.0,72.0,879
6.2,0.25,0.54,7.0,0.046,58.0,176.0,880
6.0,0.28,0.24,17.8,0.047,42.0,111.0,881
6.9,0.22,0.39,6.0,0.035,44.0,141.0,882
6.7,0.23,0.33,1.8,0.036,23.0,96.0,883
7.7,0.26,0.31,1.3,0.043,47.0,155.0,884
6.1,0.34,0.27,2.6,0.024,20.0,105.0,885
6.1,0.24,0.27,9.8,0.062,33.0,152.0,886
6.9,0.3,0.36,4.5,0.054,31.0,203.0,887
7.3,0.3,0.25,2.5,0.045,32.0,122.0,888
7.5,0.24,0.31,13.1,0.05,26.0,180.0,889
7.3,0.41,0.24,6.8,0.057,41.0,163.0,890
8.1,0.31,0.24,1.6,0.032,10.0,67.0,891
7.2,0.2,0.3,2.0,0.039,43.0,188.0,892
7.0,0.23,0.42,5.1,0.042,37.0,144.0,893
7.0,0.22,0.24,11.0,0.041,75.0,167.0,894
7.2,0.21,0.35,14.5,0.048,35.0,178.0,895
6.0,0.35,0.46,0.9,0.033,9.0,65.0,896
6.8,0.2,0.27,1.2,0.034,19.0,68.0,897
5.6,0.13,0.27,4.8,0.028,22.0,104.0,898
7.0,0.2,0.34,2.1,0.049,12.0,136.0,899
8.2,0.3,0.44,12.4,0.043,52.0,154.0,900
7.5,0.19,0.49,1.8,0.055,19.0,110.0,901
6.1,0.3,0.3,2.1,0.031,50.0,163.0,902
6.7,0.21,0.36,8.55,0.02,20.0,86.0,903
6.7,0.26,0.49,8.1,0.052,48.0,197.0,904
6.0,0.26,0.5,2.2,0.048,59.0,153.0,905
6.15,0.21,0.37,3.2,0.021,20.0,80.0,906
6.5,0.3,0.27,4.0,0.038,37.0,97.0,907
6.2,0.31,0.23,3.3,0.052,34.0,113.0,908
6.8,0.27,0.37,8.2,0.055,52.0,192.0,909
6.8,0.19,0.23,5.1,0.034,71.0,204.0,910
8.0,0.23,0.41,1.1,0.048,35.0,150.0,911
6.0,0.22,0.33,12.2,0.033,25.0,97.0,912
7.6,0.345,0.26,1.9,0.043,15.0,134.0,913
6.5,0.33,0.38,2.5,0.047,30.0,148.0,914
6.6,0.26,0.29,1.4,0.039,13.0,67.0,915
5.5,0.17,0.23,2.9,0.039,10.0,108.0,916
7.2,0.34,0.3,8.4,0.051,40.0,167.0,917
6.6,0.3,0.25,8.0,0.036,21.0,124.0,918
7.1,0.31,0.38,1.2,0.036,10.0,124.0,919
6.4,0.28,0.36,1.3,0.053,28.0,186.0,920
6.8,0.26,0.33,1.5,0.047,44.0,167.0,921
7.0,0.12,0.29,10.3,0.039,41.0,98.0,922
7.2,0.19,0.27,11.2,0.061,46.0,149.0,923
5.6,0.225,0.24,9.8,0.054,59.0,140.0,924
6.2,0.255,0.27,1.3,0.037,30.0,86.0,925
